,Tau,Method,WCSS/TSS
287,5.0,Randomized,0.9986649677865467
288,0.0,Naive,0.22050746955866554
289,0.025,Randomized,0.8314115437566908
290,0.05,Randomized,0.8314115437566908
291,0.1,Randomized,0.8314115437566908
292,0.25,Randomized,0.22050746955866554
293,0.5,Randomized,0.9892246983963254
294,1.0,Randomized,0.9936578721795853
295,5.0,Randomized,0.9875671290528467
296,0.0,Naive,0.19831773044382417
297,0.025,Randomized,0.19831773044382417
298,0.05,Randomized,0.19831773044382417
299,0.1,Randomized,0.19831773044382417
300,0.25,Randomized,0.9296003662454978
301,0.5,Randomized,0.9543016254177411
302,1.0,Randomized,0.9884232828900322
303,5.0,Randomized,0.9298952665224861
304,0.0,Naive,0.15408579806579015
305,0.025,Randomized,0.15408579806579015
306,0.05,Randomized,0.15408579806579015
307,0.1,Randomized,0.15408579806579015
308,0.25,Randomized,0.8276737185167247
309,0.5,Randomized,0.8276737185167247
310,1.0,Randomized,0.8276737185167247
311,5.0,Randomized,0.9655271467768507
312,0.0,Naive,0.21219908499442733
313,0.025,Randomized,0.21219908499442733
314,0.05,Randomized,0.21219908499442733
315,0.1,Randomized,0.2848257884736235
316,0.25,Randomized,0.9516816220217352
317,0.5,Randomized,0.948011820398673
318,1.0,Randomized,0.9516816220217352
319,5.0,Randomized,0.9780281050026141
320,0.0,Naive,0.21003867236854282
321,0.025,Randomized,0.21003867236854282
322,0.05,Randomized,0.21003867236854282
323,0.1,Randomized,0.21003867236854282
324,0.25,Randomized,0.8717040789997942
325,0.5,Randomized,0.8717040789997942
326,1.0,Randomized,0.9264445235672745
327,5.0,Randomized,0.9264445235672745
328,0.0,Naive,0.1642601658579341
329,0.025,Randomized,0.1642601658579341
330,0.05,Randomized,0.1642601658579341
331,0.1,Randomized,0.1642601658579341
332,0.25,Randomized,0.982646676671847
333,0.5,Randomized,0.982646676671847
334,1.0,Randomized,0.9469763795826047
335,5.0,Randomized,0.9469763795826047
336,0.0,Naive,0.11801778204152025
337,0.025,Randomized,0.11801778204152025
338,0.05,Randomized,0.11801778204152025
339,0.1,Randomized,0.11801778204152025
340,0.25,Randomized,0.4595876315784219
341,0.5,Randomized,0.8917766849576614
342,1.0,Randomized,0.8542725156719085
343,5.0,Randomized,0.9864334943900682
344,0.0,Naive,0.17352662509678354
345,0.025,Randomized,0.17352662509678354
346,0.05,Randomized,0.17352662509678354
347,0.1,Randomized,0.17352662509678354
348,0.25,Randomized,0.5043825139091886
349,0.5,Randomized,0.9419667566808291
350,1.0,Randomized,0.6360310861652255
351,5.0,Randomized,0.9915971924567614
352,0.0,Naive,0.1050188679047123
353,0.025,Randomized,0.1050188679047123
354,0.05,Randomized,0.1050188679047123
355,0.1,Randomized,0.1050188679047123
356,0.25,Randomized,0.1050188679047123
357,0.5,Randomized,0.9083339826680089
358,1.0,Randomized,0.7893252723838109
359,5.0,Randomized,0.9979463675015418
360,0.0,Naive,0.14717512694370075
361,0.025,Randomized,0.14717512694370075
362,0.05,Randomized,0.14717512694370075
363,0.1,Randomized,0.14717512694370075
364,0.25,Randomized,0.8687432820759472
365,0.5,Randomized,0.5123906850179877
366,1.0,Randomized,0.7921411284868083
367,5.0,Randomized,0.9493895895987764
368,0.0,Naive,0.22286589615531624
369,0.025,Randomized,0.22286589615531624
370,0.05,Randomized,0.22286589615531624
371,0.1,Randomized,0.8979560483396469
