tau,delta,effect_size,reject
0.0,12.5,1.9819199770924603,1
0.0,12.5,1.8681249100348534,1
0.0,12.5,1.9584458876022641,1
0.0,12.5,1.855990469960259,1
0.0,12.5,1.8680212793404063,1
0.0,12.5,2.0213320306173244,1
0.0,12.5,1.9622526985152866,1
0.0,12.5,1.924608299584338,1
0.0,12.5,1.920105454323491,1
0.0,12.5,1.8803813261316933,1
0.0,12.5,1.864759767668416,1
0.0,14.375,1.8411465519016024,1
0.0,14.375,1.8585166946842855,1
0.0,14.375,1.9559998920184363,1
0.0,14.375,2.005749752066781,1
0.0,14.375,2.0654653683898836,1
0.0,14.375,2.1065255691609104,1
0.0,14.375,1.925870729335868,1
0.0,14.375,1.8838008908735098,1
0.0,14.375,1.8889985407471905,1
0.0,14.375,1.8995395141388394,1
0.0,14.375,1.9600992722798223,1
0.0,14.375,1.922675581350967,1
0.0,14.375,1.9156231993290622,1
0.0,14.375,1.8811423170114316,1
0.0,14.375,1.897909756148203,1
0.0,14.375,1.9833708806233266,1
0.0,14.375,1.9432136734542305,1
0.0,14.375,1.8839392138286097,1
0.0,14.375,1.9696954983265922,1
0.0,14.375,1.9869303447363236,1
0.0,14.375,1.8755063791664375,1
0.0,14.375,1.930574284052456,1
0.0,14.375,1.8903810833930124,1
0.0,14.375,1.8852831431375328,1
0.0,14.375,1.8991958532468345,1
0.0,14.375,2.005300778475738,1
0.0,14.375,1.9241101590240794,1
0.0,14.375,1.9514457174673485,1
0.0,14.375,1.914840119919335,1
0.0,14.375,1.9109594142155586,1
0.0,16.25,1.9480551676788664,1
0.0,16.25,1.9720799592622058,1
0.0,16.25,1.828613137056872,1
0.0,16.25,1.8730858458232422,1
0.0,16.25,1.886856484451729,1
0.0,16.25,1.9073671021010468,1
0.0,16.25,1.8875381573526608,1
0.0,16.25,1.9073911592666206,1
0.0,16.25,1.9053360745077859,1
0.0,16.25,1.9301611136429049,1
0.0,16.25,1.9491664853735782,1
0.0,16.25,1.9371866638197124,1
0.0,16.25,1.9093855902313308,1
0.0,16.25,1.9556123137790358,1
0.0,16.25,1.9176161538183567,1
0.0,16.25,2.036641474124363,1
0.0,16.25,1.956862729952412,1
0.0,16.25,1.9386528695872254,1
0.0,16.25,1.9486726115285917,1
0.0,16.25,1.8307033996641364,1
0.0,16.25,1.9241846306724302,1
0.0,16.25,1.9664072840455507,1
0.0,16.25,1.9826591547458963,1
0.0,16.25,1.9798138569427217,1
0.0,16.25,2.0043818599018444,1
0.0,16.25,1.9340585535912018,1
0.0,16.25,1.9085618082290872,1
0.0,16.25,1.909401634861094,1
0.0,16.25,1.897731965123532,1
0.0,16.25,1.9424763336915813,1
0.0,18.125,1.9190923391498056,1
0.0,18.125,1.9270982952586673,1
0.0,18.125,1.942163003940186,1
0.0,18.125,1.9121593626493683,1
0.0,18.125,1.915641100259051,1
0.0,18.125,1.894690774195871,1
0.0,18.125,1.962606952281404,1
0.0,18.125,1.9721331545278498,1
0.0,18.125,2.007942433025437,1
0.0,18.125,1.9846119677378415,1
0.0,18.125,1.9474401224039246,1
0.0,18.125,1.8912875829158131,1
0.0,18.125,1.918477347868516,1
0.0,18.125,1.8877144666340155,1
0.0,18.125,1.9151740352023112,1
0.0,18.125,1.9367476223560594,1
0.0,18.125,1.883313806428478,1
0.0,18.125,1.9555163962147049,1
0.0,18.125,1.8831065712006858,1
0.0,18.125,1.8603207795239693,1
0.0,18.125,1.8738305826422768,1
0.0,18.125,1.83849156181004,1
0.0,18.125,1.9523541523046883,1
